date_month,quant_sell,customer_id
2014-04,2931,591425
2014-04,2989,591264
2014-04,1069,591423
2014-04,662,591308
2014-04,449,591421
2014-04,4082,591311
2014-04,1056,591418
2014-04,354,615250
2014-04,380,591436
2014-04,1953,591297
2014-04,2145,591438
2014-04,200,591465
2014-04,349,591462
2014-04,879,591544
2014-04,3293,591289
2014-04,196,591460
2014-04,193,591458
2014-04,197,591506
2014-04,3541,591291
2014-04,4212,591456
2014-04,703,591267
2014-04,2249,591454
2014-04,1742,591451
2014-04,800,591275
2014-04,4917,591293
2014-04,74,591449
2014-04,272,591447
2014-04,128,615246
2014-04,2708,591295
2014-04,4950,591445
2014-04,74,591443
2014-04,642,591440
2014-04,1184,615248
2014-04,728,591273
2014-04,721,591539
2014-04,37,762465
2014-04,756,591335
2014-04,750,591388
2014-04,303,1159530
2014-04,1874,591385
2014-04,1414,591337
2014-04,799,591383
2014-04,169,591271
2014-04,363,591339
2014-04,964,591381
2014-04,1368,591535
2014-04,809,591341
2014-04,393,591377
2014-04,416,591374
2014-04,1930,591370
2014-04,238,591366
2014-04,1348,591352
2014-04,1040,591361
2014-04,286,591260
2014-04,775,591355
2014-04,1383,591359
2014-04,554,591379
2014-04,2812,591390
2014-04,868,591333
2014-04,1233,591392
2014-04,112,591286
2014-04,398,591313
2014-04,599,591414
2014-04,754,591412
2014-04,80,591511
2014-04,1206,591319
2014-04,873,591410
2014-04,732,591322
2014-04,787,591407
2014-04,82,1065041
2014-04,1252,591405
2014-04,1750,591324
2014-04,1300,591403
2014-04,806,591533
2014-04,1070,591401
2014-04,1058,591262
2014-04,6660,591326
2014-04,798,591399
2014-04,845,591396
2014-04,460,591330
2014-04,2021,591394
2014-04,494,591416
2014-04,79,591467
2014-04,1837,591537
2014-04,267,591487
2014-04,20,591473
2014-04,32,591484
2014-04,129,591504
2014-04,120,591278
2014-04,13,591498
2014-04,6915,591282
2014-04,167,591500
2014-04,1316,591284
2014-04,160,591502
2014-04,139,591469
2014-04,80,591476
2014-04,7585,591280
2014-04,730,591541
2014-05,499,591454
2014-05,1545,591447
2014-05,670,591311
2014-05,1440,591379
2014-05,2200,591361
2014-05,1883,591418
2014-05,2570,591273
2014-05,671,591269
2014-05,2031,591541
2014-05,190,591449
2014-05,1846,591410
2014-05,1355,591416
2014-05,8059,591282
2014-05,1625,591381
2014-05,65,762465
2014-05,4825,591293
2014-05,2115,591535
2014-05,1990,591284
2014-05,1000,591313
2014-05,3230,591275
2014-05,392,591451
2014-05,1199,591414
2014-05,2175,591544
2014-05,1629,591412
2014-05,191,591511
2014-05,1265,591319
2014-05,130,899315
2014-05,1770,591341
2014-05,960,591502
2014-05,982,615250
2014-05,667,591508
2014-05,2112,591297
2014-05,1139,591432
2014-05,3792,591434
2014-05,875,591352
2014-05,1370,591440
2014-05,4256,591537
2014-05,7480,591370
2014-05,190,591366
2014-05,1870,591300
2014-05,975,591476
2014-05,4855,591438
2014-05,760,615248
2014-05,1071,591436
2014-05,485,591500
2014-05,631,591421
2014-05,1863,591302
2014-05,940,591377
2014-05,339,591473
2014-05,155,591506
2014-05,1245,591456
2014-05,1355,591295
2014-05,35,591484
2014-05,1650,591423
2014-05,151,591478
2014-05,6377,591445
2014-05,240,615246
2014-05,4800,591264
2014-05,2436,591304
2014-05,5355,591427
2014-05,185,591443
2014-05,5330,591429
2014-05,4879,591425
2014-05,1259,591308
2014-05,860,591260
2014-05,1460,591383
2014-05,80,591498
2014-05,2062,591401
2014-05,461,591286
2014-05,19,591495
2014-05,3612,591533
2014-05,1455,591337
2014-05,1062,591262
2014-05,3869,591390
2014-05,920,591460
2014-05,2330,591326
2014-05,272,591465
2014-05,2093,591539
2014-05,1439,591399
2014-05,1494,591396
2014-05,505,591333
2014-05,1795,591392
2014-05,1397,591407
2014-05,550,1065041
2014-05,3314,591289
2014-05,80,591471
2014-05,230,591330
2014-05,355,591271
2014-05,590,591462
2014-05,519,591469
2014-05,575,591458
2014-05,395,591278
2014-05,230,591339
2014-05,700,591322
2014-05,3400,591385
2014-05,2100,591359
2014-05,1015,1159530
2014-05,1996,591291
2014-05,13571,591280
2014-05,1124,591355
2014-05,315,591467
2014-05,600,591487
2014-05,325,591267
2014-05,1010,591504
2014-05,1930,591405
2014-05,2774,591394
2014-05,3030,591324
2014-05,1622,591388
2014-05,2175,591403
2014-05,490,591335
2014-06,345,591271
2014-06,1012,591432
2014-06,2943,591264
2014-06,690,591260
2014-06,2945,591304
2014-06,1095,1159530
2014-06,1038,591335
2014-06,1755,591392
2014-06,1640,591535
2014-06,1310,591300
2014-06,11490,591280
2014-06,4823,591427
2014-06,685,615248
2014-06,40,591478
2014-06,630,591333
2014-06,4569,591429
2014-06,614,591508
2014-06,2635,591434
2014-06,1295,591388
2014-06,575,591476
2014-06,1880,591337
2014-06,1335,591302
2014-06,2578,591390
2014-06,815,591377
2014-06,1145,591407
2014-06,610,591278
2014-06,63,762465
2014-06,125,591498
2014-06,750,591502
2014-06,1761,591403
2014-06,580,591313
2014-06,5280,591324
2014-06,746,591414
2014-06,861,591436
2014-06,1402,591401
2014-06,1526,591412
2014-06,1495,591405
2014-06,540,591487
2014-06,1790,591319
2014-06,130,899315
2014-06,1240,591410
2014-06,1140,591322
2014-06,435,591511
